x1,x2,x3,x4
a1,a2,a3,No
a1,a2,a3,Yes
a1,a2,a3,Yes
b1,a2,a3,No
b1,a2,a3,No
b1,a2,a3,Yes
b1,a2,a3,Yes
b1,a2,a3,Yes
a1,b2,a3,Yes
a1,b2,a3,Yes
a1,b2,a3,Yes
a1,b2,a3,Yes
a1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,No
b1,b2,a3,No
b1,b2,a3,No
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,Yes
b1,b2,a3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
a1,a2,b3,Yes
a1,a2,b3,No
a1,a2,b3,No
a1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,Yes
b1,a2,b3,Yes
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
b1,a2,b3,No
b1,a2,b3,Yes
b1,a2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,No
a1,b2,b3,Yes
a1,b2,b3,No
a1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,Yes
b1,b2,b3,No
b1,b2,b3,No
b1,b2,b3,No
